id,name,latitude,longitude,timestamp,free_bikes,empty_slots,extra.uid,extra.number,extra.slots,extra.bike_uids,extra.virtual
b60e67062c32d2147f8892de3a446610,Anderston West,55.861585,-4.274518,2025-07-09T21:08:32.813284+00:00Z,2,6,150125330,8472,8,"['46734', '829284']",False
b98603df18dece74e168037c3fe67a2c,Sauchiehall Street,55.865291,-4.261756,2025-07-09T21:08:32.812624+00:00Z,3,4,6269618,8463,7,"['82759', '46466', '46455']",False
ba4133ab0ad5c5b405a541c5dfa5814f,Finnieston Street,55.863422,-4.280677,2025-07-09T21:08:32.812290+00:00Z,8,2,315912,8438,8,"['826608', '825650', '825594', '46570', '46508', '47949', '829967', '829270']",False
ba6d3b1c4cafd1b3e29f950f613c4605,Queens Park Railway Station - ELECTRIC,55.834976,-4.265485,2025-07-09T21:08:32.812407+00:00Z,5,8,349460,8447,8,"['828248', '46840', '46468', '46430', '829195']",False
bc208a63ac25b883b9eb6e28bfff2f28,Shakespeare Street (Maryhill) - ELECTRIC,55.886934,-4.285022,2025-07-09T21:08:32.812736+00:00Z,4,2,19548002,8427,4,"['828955', '46725', '46424', '829986']",False
bfdb33b93e6a6a80f01c46a8284203e0,George Square - ELECTRIC,55.86155,-4.2494,2025-07-09T21:08:32.811930+00:00Z,3,7,264292,8406,10,"['826907', '828910', '826997']",False
c04c3fc64f0ba6c420bd3184f474bfc9,University of Glasgow (West),55.872774,-4.292135,2025-07-09T21:08:32.812131+00:00Z,3,3,264306,8422,8,"['47873', '825902', '46703']",False
c5fd8640b5ba2ad276663dac367fa293,Mount Florida Railway Station,55.827282,-4.259255,2025-07-09T21:08:32.812662+00:00Z,3,2,6269636,8467,4,"['47895', '46653', '829964']",False
c7102adc0e91f9d347ac0e230471e8bc,Carrick Quay,55.85476,-4.25164,2025-07-09T21:08:32.812848+00:00Z,8,0,28521474,8231,8,"['828933', '46940', '46975', '823632', '46634', '46621', '46611', '828213']",False
c8234c56f76f3f84d81c54ceedbdab54,Anderston Railway Station,55.859996,-4.270163,2025-07-09T21:08:32.813183+00:00Z,3,3,105741985,8312,6,"['38868', '46667', '46535']",False
caf64729d7f752ab99f5a2c600a089c6,St Andrews Drive @ Maxwell Drive,55.845518,-4.286476,2025-07-09T21:08:32.812913+00:00Z,5,3,31234411,8235,8,"['823527', '46763', '47920', '829987', '829124']",False
d1cfef68e6b380467d3f8927379319b3,Glasgow Cathedral - ELECTRIC,55.862973,-4.237745,2025-07-09T21:08:32.812023+00:00Z,0,6,264296,8409,6,[],False
d204cd406e1b7af53252157f13d4df60,Burrell Collection,55.829914,-4.306877,2025-07-09T21:08:32.813106+00:00Z,2,4,55600156,8202,6,"['46645', '46558']",False
d33c72793e492060711833bcbbd2667e,King Street South,55.85586,-4.24695,2025-07-09T21:08:32.812873+00:00Z,5,3,28521547,8230,8,"['46948', '46928', '46585', '46486', '829177']",False
d609f2455b3dbc528814c140c6d86413,Gartnavel General Hospital,55.883971,-4.31046,2025-07-09T21:08:32.812445+00:00Z,2,4,733236,8449,6,"['46685', '829979']",False
d80f772bb69ca8c783940446811dda56,Kelvinhaugh Street / Argyle Street - ELECTRIC,55.865222,-4.286127,2025-07-09T21:08:32.812486+00:00Z,0,4,3812438,8451,8,[],False
d9eacbf78518d186400386d90f0cf49c,Broomhill Cross,55.875865,-4.319601,2025-07-09T21:08:32.813314+00:00Z,5,5,213997157,8480,10,"['46992', '828296', '46669', '828212', '46501']",False
dd9ad2381ac6eb2e2826d3d8104297ec,Queen Street Railway ,55.862102,-4.252307,2025-07-09T21:08:32.813065+00:00Z,3,7,45172531,8740,10,"['828940', '46413', '829142']",False
e1d3e09da4969404a689700ed36b5d56,Partick Interchange ,55.869707,-4.308459,2025-07-09T21:08:32.812275+00:00Z,10,0,266218,8423,8,"['826626', '47898', '828211', '46888', '46598', '46594', '46540', '46502', '47972', '47948']",False
e6e70fe059c3461f05eff24ccab6c09d,Ibrox,55.850987,-4.301448,2025-07-09T21:08:32.812799+00:00Z,3,5,21603723,8452,8,"['46985', '46571', '829167']",False
e7b590304d2ae958110e34961830ce68,Maryland Drive,55.846552,-4.332797,2025-07-09T21:08:32.813259+00:00Z,3,7,115737132,8209,10,"['46541', '829957', '829288']",False
e828a82c55b279cd1e7f5f9997d86d4b,Gallery of Modern Art - ELECTRIC,55.859716,-4.251945,2025-07-09T21:08:32.812221+00:00Z,12,4,266168,8430,12,"['47540', '46589', '46993', '828234', '46795', '46711', '46699', '46495', '46440', '47935', '829227', '828142']",False
e90cf64c1ad4360e9827143bd9234ef8,Springfield Quay 1,55.855185,-4.273478,2025-07-09T21:08:32.812603+00:00Z,1,5,6269590,8461,6,['829993'],False
e9411faefce1d3a87601ad2dae1d1efc,Hyndland Road ,55.876975,-4.306222,2025-07-09T21:08:32.812886+00:00Z,1,7,31234332,8232,8,['828903'],False
eb47a36e3d5fe5bc456397413bd2aa75,Bridge Street Subway - ELECTRIC,55.8525,-4.25885,2025-07-09T21:08:32.812166+00:00Z,1,4,264316,8432,5,['46731'],False
ec3d6eba43f27b84b35067a84fbc00c9,Barrowlands - ELECTRIC,55.855152,-4.235294,2025-07-09T21:08:32.812318+00:00Z,6,3,349451,8440,10,"['47618', '823506', '46747', '46603', '47768', '829316']",False
ed8440d874a0b4205ddbcc0bc56f3d49,Emirates Arena,55.846362,-4.208322,2025-07-09T21:08:32.812208+00:00Z,2,10,266166,8428,12,"['46746', '46460']",False
ef89ae581497a99c0a1d61db38e53380,Paisley Road Toll - ELECTRIC ,55.85378,-4.279158,2025-07-09T21:08:32.812357+00:00Z,0,9,349454,8443,10,[],False
f3ad8b8957d8be86ce18b8c9a43f02e1,Bellgrove Railway Station (North) - ELECTRIC ,55.858123,-4.224511,2025-07-09T21:08:32.812305+00:00Z,4,2,349450,8439,6,"['829273', '46469', '47934', '829989']",False
f5ac5a0223f0c88e225aa7c4d63d55f5,Broomielaw West ,55.85658,-4.26887,2025-07-09T21:08:32.812823+00:00Z,2,6,28521383,8217,8,"['46853', '829125']",False
f6210447e1724487afe0ce63b011aecd,Knightswood Park,55.895974,-4.354877,2025-07-09T21:08:32.813296+00:00Z,0,10,213996668,8473,10,[],False
f66dbb6e5176c4419ad1be87ea0c300d,Speirs Wharf - ELECTRIC,55.870992,-4.260426,2025-07-09T21:08:32.812577+00:00Z,1,5,3812875,8459,7,['47833'],False
f6b64fd82fe6e607f1fc788ace31c3a1,Fullarton,55.837175,-4.170209,2025-07-09T21:08:32.813246+00:00Z,3,9,114446999,8234,12,"['47334', '828994', '46917']",False
f806566ccd2263bd5dbb624cdd0fb7f3,Bridgeton,55.848939,-4.226823,2025-07-09T21:08:32.812331+00:00Z,6,2,349452,8441,8,"['46998', '828973', '828220', '46623', '46448', '829217']",False
f93ab2c803d81c14f7e2f1765911de04,Charing Cross Railway Station,55.864563,-4.270055,2025-07-09T21:08:32.812472+00:00Z,6,2,3456076,8421,8,"['47148', '47634', '828236', '46871', '46616', '829292']",False
fa6bc682e8627d66891c2b6250c81b1e,Mitchell Library,55.864788,-4.271852,2025-07-09T21:08:32.812144+00:00Z,4,2,264308,8425,6,"['82453', '47859', '825901', '829950']",False
faf9e8803c8d80741d74f98cb9ba8337,Cambridge Street - ELECTRIC,55.865063,-4.260291,2025-07-09T21:08:32.812762+00:00Z,0,7,19548484,8434,7,[],False
