category_alias,category_title,yelp_id,yelp_name,yelp_rating,yelp_coordinates.latitude,yelp_coordinates.longitude,yelp_location.address1,yelp_location.city,yelp_distance,bike_lat,bike_lon,bike_id,free_bikes
venues,Venues & Event Spaces,pnSROB18JmOIOi3Nmaih5w,The Butterfly and the Pig,4.6,55.8641959729238,-4.26093339920044,153 Bath Street,Glasgow,442.30294433702164,55.86077,-4.264535,8af6d6e52a43dc3df9086e10ab9da2a1,3
seafood,Seafood,vMicp284XMPeYgi5aWjaWw,Gamba,4.4,55.862583,-4.2609256,225a West George Street,Glasgow,308.42424690291233,55.86077,-4.264535,8af6d6e52a43dc3df9086e10ab9da2a1,3
british,British,vMicp284XMPeYgi5aWjaWw,Gamba,4.4,55.862583,-4.2609256,225a West George Street,Glasgow,308.42424690291233,55.86077,-4.264535,8af6d6e52a43dc3df9086e10ab9da2a1,3
tapasmallplates,Tapas/Small Plates,_GHNOOJhhjLegiCvzf5V0Q,Ox And Finch,4.7,55.8656539706006,-4.28469195278264,920 Sauchiehall Street,Glasgow,1370.0126478469774,55.86077,-4.264535,8af6d6e52a43dc3df9086e10ab9da2a1,3
scottish,Scottish,_GHNOOJhhjLegiCvzf5V0Q,Ox And Finch,4.7,55.8656539706006,-4.28469195278264,920 Sauchiehall Street,Glasgow,1370.0126478469774,55.86077,-4.264535,8af6d6e52a43dc3df9086e10ab9da2a1,3
chinese,Chinese,nVSnufZ13Mcm9c5XufSPtg,Sichuan House,4.4,55.8655626,-4.2659366,345-349 Sauchiehall Street,Glasgow,521.7372890194388,55.86077,-4.264535,8af6d6e52a43dc3df9086e10ab9da2a1,3
steak,Steakhouses,4B7sGFSBSDjiZMBrYG6AYg,Alston Bar & Beef,4.5,55.860346113084,-4.25765299458158,Glasgow Central Station,Glasgow,432.04008219694674,55.86077,-4.264535,8af6d6e52a43dc3df9086e10ab9da2a1,3
cocktailbars,Cocktail Bars,4B7sGFSBSDjiZMBrYG6AYg,Alston Bar & Beef,4.5,55.860346113084,-4.25765299458158,Glasgow Central Station,Glasgow,432.04008219694674,55.86077,-4.264535,8af6d6e52a43dc3df9086e10ab9da2a1,3
pubs,Pubs,v9dLhoA7jCzLiAcZpeLOmA,Bloc+,4.3,55.863971,-4.259456,117 Bath Street,Glasgow,480.66424772195654,55.86077,-4.264535,8af6d6e52a43dc3df9086e10ab9da2a1,3
burgers,Burgers,v9dLhoA7jCzLiAcZpeLOmA,Bloc+,4.3,55.863971,-4.259456,117 Bath Street,Glasgow,480.66424772195654,55.86077,-4.264535,8af6d6e52a43dc3df9086e10ab9da2a1,3
pizza,Pizza,v9dLhoA7jCzLiAcZpeLOmA,Bloc+,4.3,55.863971,-4.259456,117 Bath Street,Glasgow,480.66424772195654,55.86077,-4.264535,8af6d6e52a43dc3df9086e10ab9da2a1,3
pubs,Pubs,YnXzhkd4eDJNdVVzL5igpg,King Tut's Wah Wah Hut,4.3,55.8625946,-4.2650683,272 St Vincent Street,Glasgow,206.46920702481088,55.86077,-4.264535,8af6d6e52a43dc3df9086e10ab9da2a1,3
musicvenues,Music Venues,YnXzhkd4eDJNdVVzL5igpg,King Tut's Wah Wah Hut,4.3,55.8625946,-4.2650683,272 St Vincent Street,Glasgow,206.46920702481088,55.86077,-4.264535,8af6d6e52a43dc3df9086e10ab9da2a1,3
dimsum,Dim Sum,MeTwWsVkZBl4gFSBQKM0lg,Opium,4.6,55.8631744,-4.2579875,191 Hope Street,Glasgow,483.04761990156965,55.86077,-4.264535,8af6d6e52a43dc3df9086e10ab9da2a1,3
asianfusion,Asian Fusion,MeTwWsVkZBl4gFSBQKM0lg,Opium,4.6,55.8631744,-4.2579875,191 Hope Street,Glasgow,483.04761990156965,55.86077,-4.264535,8af6d6e52a43dc3df9086e10ab9da2a1,3
steak,Steakhouses,_qTVWwd9Je8mThif9jM39w,The Grill On the Corner,3.7,55.8609653,-4.2597029,21-25 Bothwell Street,Glasgow,293.61401012539795,55.86077,-4.264535,8af6d6e52a43dc3df9086e10ab9da2a1,3
seafood,Seafood,_qTVWwd9Je8mThif9jM39w,The Grill On the Corner,3.7,55.8609653,-4.2597029,21-25 Bothwell Street,Glasgow,293.61401012539795,55.86077,-4.264535,8af6d6e52a43dc3df9086e10ab9da2a1,3
seafood,Seafood,JNpi062fXUtd3lmGUSu-ww,Café Gandolfi,4.5,55.8580469,-4.2442038,64 Albion Street,Glasgow,1303.4466643060773,55.86077,-4.264535,8af6d6e52a43dc3df9086e10ab9da2a1,3
